Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon,Email,Website
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS AWAL BROS PEKANBARU,"JL JEND SUDIRMAN NO 117 RT. 03/RW. 01, TENGKERANG SELATAN, KEC. BUKIT RAYA 28285",0761-47333 Ext: 4000; 0761-47222,,www.awalbros.com
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS EKA HOSPITAL,"JL SOEKARNO HATTA KM 6,5 RT. 01/RW. 12, TENGKERANG BARAT, KEC. MARPOYAN DAMAI 28282",0761-6989999; 0761-6989944,infopku@ekahospital.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS JIWA TAMPAN,"JL HR SUBRANTAS KM12,5 RT. 02/RW. 03, SIMPANG BARU, KEC. TAMPAN",0761-63240; 0761-63239,rstampan@yahoo.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS SANSANI,"JL SOEKARNO HATTA RT. 10/RW. 06, SIDOMULYO TIMUR, KEC. MARPOYAN DAMAI 28125",0761-564666,rs_sansani@yahoo.co.id,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS SANTA MARIA PEKANBARU,"JL A YANI 68 RT. 01/RW. 01, PULAU KARAM, KEC. SUKAJADI 28128",0761-28800; 0761-26071,rsssmpku@gmail.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS SYAFIRA,"JL JENDRAL SUDIRMAN RT. 05/RW. 11, TENGKERANG TENGAH, KEC. MARPOYAN DAMAI 28282",,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS TABRANI,"JL SUDIRMAN 410 RT. 06/RW. 01, WONOREJO, KEC. MARPOYAN DAMAI 28125",,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSAB ZAINAB,"JL RONGGOWARSITO 1 NO 1 RT. 01/RW. 02, SUKA MAJU, KEC. SAIL 28132",0761-24000; 0761-859448,rszainab@yahoo.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA ERIA BUNDA,"JL KH AHMAD DAHLAN NO 163 RT. 01/RW. 03, KAMPUNG TENGAH, KEC. SUKAJADI 28128",,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD ARIFIN AHMAD PROVINSI RIAU,"JL DIPONEGORO NO 2 RT. 02/RW. 09, SUMAHILANG, KEC. PEKANBARU KOTA 28111",0761-23418; 0761-20253,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD PETALA BUMI RIAU,"JL DR SUTOMO NO 65, SEKIP, KEC. LIMAPULUH",0761-23024,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT AHMAD YANI,"JL AHMAD YANI RT. 01/RW. 02, TANAH DATAR, KEC. PEKANBARU KOTA 28115",0761-23954; 0761-856370,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BERSALIN ANISA,"JL GARUDA NO 66 RT. 02/RW. 05, TENGKERANG TENGAH, KEC. MARPOYAN DAMAI 28282",085264596519,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BHAYANGKARA,"JL KARTINI RT. 01/RW. 01, SIMPANG EMPAT, KEC. PEKANBARU KOTA 28116",761-47697,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BINA KASIH,"JL SAMANHUDI NO 35 RT. 01/RW. 02, SAGO, KEC. SENAPELAN 28151",0761-21718,rsbinakasih_pku@yahoo.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BUDHI MULIA,"JL SOEKARNO HATTA RT. 01/RW. 04, SIDOMULYO TIMUR, KEC. MARPOYAN DAMAI 28125",,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT IBU DAN ANAK ANDINI,"JL NANGKA RT. 01/RW. 09, TENGKERANG BARAT, KEC. MARPOYAN DAMAI 28282",08117510000,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RUMAH SAKIT JMB, PT","JL SEKOLAH NO 53 RT. 01/RW. 13, LIMBUNGAN BARU, KEC. RUMBAI PESISIR 28261",085272906882,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MATA SMEC,"JL ARIFIN AHMAD NO92 RT. 02/RW. 05, SIDOMULYO TIMUR, KEC. MARPOYAN DAMAI 28125",0761-565686,smecpkb@yahoo.com,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PMC,"JL LEMBAGA PEMASYARAKATAN RT. 01/RW. 03, SUKA MAJU, KEC. SAIL 28132",0761-848100; 0761-859510,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT TENTARA TINGKAT IV,"JL KESEHATAN NO 2 RT. 03/RW. 06, KAMPUNG BANDAR, KEC. SENAPELAN 28153",0761-22426,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UNRI,"JL BINA WIDYA RT. 02/RW. 03, SIMPANG BARU, KEC. TAMPAN 28293",08127533512,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"SYIFA UTAMA, PT","JL MELATI NO 60 RT. 02/RW. 03, HARJOSARI, KEC. SUKAJADI 28122",0761-24242,rsiispd@yahoo.co.id,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"V2 GOLD SUKSES SEJAHTERA MANDIRI, PT","JL PEMUDA NO 20 A RT. 02/RW. 02, TAMPAN, KEC. PAYUNG SEKAKI 28292",085355717338,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,YUYANTANG REFREXOLOGI,"JL ARIFIN AHMAD RT. 02/RW. 05, SIDOMULYO TIMUR, KEC. MARPOYAN DAMAI 28125",085318188815,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BERSALIN RESTU IBU,"JL PROF M YAMIN RT. 03, RIMBA SEKAMPUNG, KEC. DUMAI KOTA 28822",0811758331,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK CITRA MEDIKA,"JL PROF M YAMIN RT. 03, RIMBA SEKAMPUNG, KEC. DUMAI KOTA 28822",08127595008,drsyaiful@yahoo.co.id,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PADU SERASI,"JL JENDRAL SUDIRMAN NO 188 RT. 08, BINTAN, KEC. DUMAI KOTA 28812",087378178444,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRAKTEK DOKTER HENDRA,"JL PROF M YAMIN RT. 03, RIMBA SEKAMPUNG, KEC. DUMAI KOTA 28822",08117568828,drhendrasoebrati@yahoo.co.id,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PERTAMINA DUMAI,"JL RAYA BUKIT DATUK RT. 14, BUKIT DATUK, KEC. DUMAI SELATAN 28825",,,
RIAU,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM DAERAH KOTA DUMAI,"JL TANJUNG JATI NO 4, BULUH KASAP, KEC. DUMAI TIMUR",0765-38367; 0765-31041,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BERSALIN ANDIMAS,"JL SAPTA MARGA RT. 21, KELURAHAN PEMATANG KANDIS, KEC. BANGKO 37314",0746-21719,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT RAUDHAH,"BUKIT AUR RT. 16/RW. 01, KELURAHAN PEMATANG KANDIS, KEC. BANGKO 37314",0746-322834,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM,"JL KESEHATAN RT. 06, KELURAHAN PEMATANG KANDIS, KEC. BANGKO",,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"KONSUIL PERDANA, PT","JL A KARIM RT. 01, AUR GADING, KEC. SAROLANGUN 37481",085391276555,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD CHATIB QUZWAIN,"JL LINTAS SUMATRA KM 9, BUKIT, KEC. PELAWAN 37481",,rsudsarolangun07@yahoo.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MITRA MEDIKA BATANGHARI,"JL GAJAH MADA RT. 17/RW. 01, TERATAI, KEC. MUARA BULIAN 36613",0743-21777; 0743-23359,rsmm.batang@gmail.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS NURDIN HAMZAH,"JL WR SUPRATMAN, PARIT CULUM I, KEC. MUARA SABAK BARAT 36561",,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD KH DAUD ARIF,"JL SYARIF HIDAYATULLAH RT. 13, TUNGKAL II, KEC. TUNGKAL ILIR 36514",0742-21621,rsdkhdaudarif@yahoo.co.id,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SULTAN THAHA SYAIPUDIN,"KOMP RSUD SULTAN TAHA SYAIPUDIN KM4 BOGOREJO RT. 03/RW. 03, KELURAHAN TEBING TINGGI, KEC. TEBO TENGAH 37571",0744-21727; 0744-21727,rsudststebo@gmail.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD H HANAFIE MUARA BUNGO,"JL TEUKU UMAR RT. 12/RW. 04, KELURAHAN PASIR PUTIH, KEC. RIMBO TENGAH 37214",082176958849,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BERSAUDARA,"JL LINTAS SUMATRA KM 4 ARAH PADANG RT. 01/RW. 01, KELURAHAN SUNGAI BINJAI, KEC. BATHIN III 37215",081366883132,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT CENTRAL MEDIKA,"JT RANGKAYO HITAM RT. 20/RW. 07, KELURAHAN JAYA SETIA, KEC. PASAR MUARA BUNGO",0747-22207,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT IBU DAN ANAK PERMATA HATI,"JL LEBAI HASAN RT. 06/RW. 02, KELURAHAN SUNGAI PINANG, KEC. BUNGO DANI 37221",0747-7331122,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"HAPPY DREAM, PT","JL ADAM MALIK NO 123 RT. 22, THE HOK, KEC. JAMBI SELATAN 36138",085382107001,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"INTI PRIMA SENTOSA, PT","JL HOSCOKROAMINOTO NO 92 RT. 07, SIMPANG III SIPIN, KEC. KOTA BARU 36126",0741-43689; 0741-43690,,www.intisehatmedika.com
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK KIMIA FARMA,"JL GATOT SUBROTO NO 44 KP MANGGIS RT. 9, SUNGAI ASAM, KEC. PASAR JAMBI 36134",0741-24159,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LABOR KLINIK PRODIA,"JL URIP SUMOMARJO NO 2 RT. 14, SUNGAI PUTRI, KEC. TELANAIPURA 36122",0741-64688,,www.prodia.co.id
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS BAITURAHIM PETRAMEDIKA,"JL PROF M YAMIN SH RT. 20, LEBAK BANDUNG, KEC. JELUTUNG 36135",0741-35165,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS H ABDUL MANAP,"JL SK RD SYAHBUDIN RT. 06, MAYANG MANGURAI, KEC. KOTA BARU 36126",0741-670459,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS RIMBO MEDICA,"JL KAPTEN PATIMURA RT. 02/RW. 01, KENALI BESAR, KEC. KOTA BARU 36129",0741-583020,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS ROYAL PRIMA,"JL RADEN WIJAYA RT. 35/RW. 08, THE HOK, KEC. JAMBI SELATAN 36138",0741-41010; 0741-143295,royalprima@gmail.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSIA ANNISA,"JL KABIA RT. 01, KEBUN HANDIL, KEC. JELUTUNG 36137",0741-445226; 0741-44415,rsia_annisajambi@yahoo.co.id,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BHAYANGKARA,"JL RADEN MATTEHER NO 43, RAJAWALI, KEC. JAMBI TIMUR 36113",0741-23246; 0741-34409,rumkitbhynkr@yahoo.co.id,www.rsbhayangkarajambi.com
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT DKT,"JL DARA PETAK, SULAN JANA, KEC. JAMBI TIMUR 36144",0741-23088,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT ISLAM ARAFAH JAMBI,"JL MPU GANDRING NO 1 KEBUN JERUK, SOLOK SIPIN, KEC. TELANAIPURA 36121",0741-667966; 0741-63444,rsi.arafah_jambi@hotmail.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT KAMBANG,"JL KOL AMIR HAMZAH RT. 22/RW. 07, SELAMAT, KEC. TELANAIPURA 36129",0741-61714,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MMC,"JL IR H JUANDA RT. 22/RW. 06, SIMPANG III SIPIN, KEC. KOTA BARU 36126",,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT SILOAM,"JL SOEKARNO HATTA RT. 02, PAAL MERAH, KEC. JAMBI SELATAN 36139",0741-5919000,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT THERESIA,"JL DR SUTOMO RT. 01, PASAR JAMBI, KEC. PASAR JAMBI 36113",0741-23119; 0741-20832,rstheresia@gmail.com,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"SINAR KENCANA MULTI LESTARI, PT","JL AR SALEH RT. 06, PAAL MERAH, KEC. JAMBI SELATAN",085750405186,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,STOKIS CNI,"JL H ADAM MALIK NO 92 RT. 02, HANDIL JAYA, KEC. JELUTUNG 36137",0741-42324,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,THE SALT CAVE,"KOMP RUKO CITRALAND BLOK A NO 23 RT. 46, MAYANG MANGURAI, KEC. KOTA BARU 36126",082380778776,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,DKT,"JL JEND A YANI RT. 01, KELURAHAN PASAR SUNGAI PENUH, KEC. SUNGAI PENUH 37114",0748-21147,,
JAMBI,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM,"JL BASUKI RAHMAT RT. 02, KOTO RENAH, KEC. PESISIR BUKIT 37151",081373592510,rsumhattu@yahoo.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRAKTIK DOKTER,"JL PAHLAWAN KEMARUNG RT. 07/RW. 03, PASAR BARU, KEC. BATU RAJA TIMUR 32116",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT DKT BATURAJA,"JL DR MOH HATTA RT. 32/RW. 10, BATURAJA LAMA, KEC. BATU RAJA TIMUR 32117",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT ST ANTONIO,"JL KOMISARIS UMAR RT. 02/RW. 01, AIR GADING, KEC. BATU RAJA BARAT 32121",0735-320395; 0735-320201,rsantoniobta@yahoo.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM BATURAJA,"JL DR MOH HATTA RT. 31/RW. 10, BATURAJA LAMA, KEC. BATU RAJA TIMUR 32117",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PUSKES BUN PT AEKMRUM,"BESCAMP PT AEKTARUM RT. 01/RW. 07, PEMATANG PANGGANG, KEC. MESUJI 30681",081278031303,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT KAYU AGUNG,"JL LETJEN YUSUP RT. 09/RW. 09, JUA JUA, KEC.",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,JASA MEDIS,"JL PRAMUKA III RT. 01/RW. 05, PASAR II, KEC. MUARA ENIM 31315",085368256174,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PTBA,"JL BUKIT ASAM RT. 06/RW. 08, TANJUNG ENIM, KEC. LAWANG KIDUL 31712",0734-951204; 0734-453134,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD DR H MUMAMMAD RABBAIN,"JL SMB 2 NO 49 RT. 03/RW. 06, PASAR II, KEC. MUARA ENIM 31315",0813773400,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,BALAI PENGOBATAN,"JL GUNUNG GAJAH NO 13, GUNUNG GAJAH, KEC. LAHAT",0731-322092,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM DAERAH LAHAT,"JL LETJEN HARUN SOHAR 1 NO 28 RT. 09/RW. 03, PASAR BARU, KEC. LAHAT 31411",0731-321785,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK SMART MEDICA,"JL JALUR I LK I RT. 02/RW. 01, KAYUARA, KEC. SEKAYU 30711",081271746567,smartmedica5@gmail.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD BAYUNG LENCIR,"JL PALEMBANG JAMBI KM 202 RT. 12/RW. 01, BAYUNG LENCIR, KEC. BAYUNG LENCIR 30756",085266111155,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SEKAYU,"JL KOLONEL WAHID UDIN LK I RT. 02/RW. 01, KAYUARA, KEC. SEKAYU 30711",0714-321855; 0714-321855,rsud.sekayu@yahoo.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SUNGAI LILIN,"SUNGAI LILIN JAYA, KEC. SUNGAI LILIN",081273067621,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK KARTINI,"JL PLG BETUNG KM 20 RT. 18/RW. 18, AIR BATU, KEC. TALANG KELAPA 30961",081273431112,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSK SUNGAI KUNDUR,"JL SABAR JAYA LRG RSK SUNGAI KUNDUR, MARIANA, KEC. BANYUASIN I 30763",081278654186,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK 3F,"JL PUNCAK 2 NO 748 RT. 03/RW. 03, GUMAWANG, KEC. BELITANG 32382",0735-451299; 0735-451299,3fmedika@yahoo.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS CHARITAS,"KAPASAN RT. 12/RW. 05, TEGAL REJO, KEC. BELITANG 32382",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS ISLAM AT TAQWA,"TANAH MERAH, KEC. BELITANG MADANG RAYA",085379648888,rumahsakitislamattaqwa_gumawang@yahoo.co.id,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD OKU TIMUR,"JL RAYA BELITANG R ASUAN NO 2 RT. 03/RW. 01, TULUS AYU, KEC. BELITANG MADANG RAYA 32382",0735-451815,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RUMAH SAKIT PERTAMINA PENDOPO, PT","KOMPERTA RT. 03/RW. 01, TALANG UBI UTARA, KEC. TALANG UBI 31211",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD MURATARA,"JL LINTAS SUMATERA TAMAN KULINER DSN 6, LAWANG AGUNG, KEC. RUPIT 31654",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,ASIA TIARA FATRIN,"JL RAJAWALI NO 495-496 RT. 18/RW. 06, 9 ILIR, KEC. ILIR TIMUR II 30113",0711-353438; 0711-322528,rsk_tiamfam@yahoo.co.id,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"EMDEE SKIN CLINIC, PT","JL LETKOL ISKANDAR NO 543 RT. 11/RW. 03, 24 ILIR, KEC. BUKIT KECIL 30134",0711-372932; 0711-372934,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"ETOS INDO NUSA, PT","JL KELAPA 2 BLOK E NO 26 RT. 28/RW. 12, SAKO, KEC. SAKO 30163",0711-5700195,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"GRAHA PUSRI MEDIKA RUMAH SAKIT PUSRI, PT","JL MAYOR ZEN KOMP PT PUSRI RT. 03/RW. 01, SEI SELAYUR, KEC. KALIDONI 30118",0711-712222 Ext: 3359,rspusri.gpm@gmail.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK AMALIA,"JL DI PANJAITAN RT. 19/RW. 07, PLAJU ULU, KEC. PLAJU 30266",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BERSALIN LIDWINA,"JL URIP SUMOHARJO RT. 33/RW. 13, 2 ILIR, KEC. ILIR TIMUR II 30118",0711-710251,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK DAN APOTEK BRIMLOIKA,"JL RADIAL RT. 18/RW. 06, 24 ILIR, KEC. BUKIT KECIL 30314",0711-364710,brimedika_palembang@yahoo.co.id,www.brimedika.co.id
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK KUSUMA,"LAWANG KIDUL, KEC. ILIR TIMUR II",0711-711701,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK NAYAKA HUSADA,"JL BASUKI RAHMAT RT. 25/RW. 10, PAHLAWAN, KEC. KEMUNING 30126",0711-315961,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"NAYAKA EFA HUSADA, PT","JL DEMANG LEGAR DAUN RT. 42/RW. 12, LOROK PAKJO, KEC. ILIR BARAT I 30137",082306370334,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"NAYAKA HUSADA, PT","JL ST M MANSYUR NO RT. 16/RW. 07, 32 ILIR, KEC. ILIR BARAT II 30145",085368312800,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PETA MEDIKA, PT","KOMP PERTAMINA RT. 45/RW. 06, 8 ILIR, KEC. ILIR TIMUR II 30114",0711-368758,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRODIA,"JL BASUKI RAHMAT NO 801 RT. 09/RW. 05, ARIO KEMUNING, KEC. KEMUNING 30128",0711-411304 Ext: 30128,palembang@prodia.co.id,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRODIA WIDYAHUSADA, PT","JL VETERAN NO 932 RT. 16/RW. 05, 9 ILIR, KEC. ILIR TIMUR II 30113",0711-377239; 0711-362498,palembang@prodia.co.id,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS AK GANI,"KOMP BENTENG BLOK PERWIRA NO 2 RT. 17/RW. 06, 19 ILIR, KEC. BUKIT KECIL 30132",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS BHAYANGKARA,"JL JENDRAL SUDIRMAN RT. 16/RW. 04, ARIO KEMUNING, KEC. KEMUNING 30128",,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS BUNDA,"JL DEMANG LEBAR DAUN RT. 16/RW. 04, DEMANG LEBAR DAUN, KEC. ILIR BARAT I 30137",0711-311866; 0711-355553,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS CHARITAS,"JL SUDIRMAN 1054 RT. 19/RW. 08, SEI PANGERAN, KEC. ILIR TIMUR I",0711-353374,charitas@rscharitas.com,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS CHARITAS,"JL BETAWI RAYA NO 1340 RT. 22/RW. 06, LEBONG GAJAH, KEC. SEMATANG BORANG 30163",085215370820,,
SUMATERA SELATAN,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS KHUSUS GIGI DAN MULUT,"JL KOL H BURLIAN KM 6 RT. 19/RW. 03, SUKA BANGUN, KEC. SUKARAMI 30151",0711-5610491,,
